1	0	0
2	0	0
3	0	0
5	1	0
6	1	0
7	1	0
8	2	0
10	3	0
13	5	0
14	5	0
15	6	0
16	6	0
18	7	0
19	7	0
22	8	0
23	8	0
25	10	0
26	10	0
27	13	0
29	14	0
32	15	0
34	16	0
36	18	0
38	19	0
40	22	0
41	23	0
42	23	0
44	23	0
46	25	0
47	26	0
48	26	0
49	26	0
51	27	0
53	27	0
54	29	0
56	29	0
57	32	0
59	32	0
60	34	0
62	34	0
63	36	0
64	36	0
66	38	0
67	38	0
69	40	0
71	40	0
73	41	0
74	41	0
76	42	0
77	42	0
78	44	0
79	44	0
81	46	0
82	46	0
85	47	0
86	47	0
88	48	0
89	48	0
90	49	0
91	49	0
94	51	0
95	53	0
96	53	0
98	53	0
100	54	0
101	56	0
102	56	0
103	56	0
106	57	0
107	57	0
108	57	0
109	59	0
111	60	0
113	60	0
114	60	0
115	62	0
118	63	0
119	63	0
120	63	0
121	64	0
123	66	0
125	66	0
126	66	0
127	67	0
129	69	0
131	69	0
132	69	0
133	71	0
137	74	0
139	76	0
141	77	0
144	78	0
146	79	0
147	81	0
149	81	0
150	81	0
151	82	0
153	85	0
157	88	0
159	89	0
162	90	0
164	91	0
165	94	0
167	94	0
169	95	0
170	95	0
172	96	0
173	96	0
174	98	0
175	98	0
177	100	0
178	100	0
181	101	0
182	101	0
184	102	0
185	102	0
186	103	0
187	103	0
190	106	0
191	106	0
193	107	0
195	108	0
196	108	0
199	109	0
200	109	0
202	111	0
203	111	0
204	113	0
207	114	0
208	114	0
210	115	0
212	115	0
214	118	0
215	118	0
216	119	0
217	119	0
220	120	0
223	121	0
224	121	0
226	123	0
227	123	0
228	125	0
229	125	0
231	126	0
234	127	0
236	127	0
238	129	0
239	129	0
240	131	0
241	131	0
243	132	0
244	132	0
246	133	0
248	133	0
250	137	0
251	137	0
252	139	0
254	139	0
255	141	0
257	141	0
258	144	0
259	144	0
261	146	0
262	146	0
265	147	0
266	147	0
267	149	0
268	149	0
270	150	0
271	150	0
273	151	0
275	151	0
277	153	0
278	153	0
279	157	0
281	157	0
282	159	0
284	159	0
285	162	0
287	162	0
288	164	0
290	164	0
292	165	0
293	165	0
294	165	0
295	167	0
297	169	0
299	170	0
303	173	0
306	174	0
308	175	0
310	177	0
311	177	0
312	177	0
313	178	0
315	181	0
317	182	0
319	184	0
324	186	0
326	187	0
327	190	0
329	191	0
332	193	0
334	195	0
336	196	0
338	199	0
339	200	0
340	200	0
341	200	0
343	202	0
345	203	0
348	204	0
350	207	0
352	208	0
354	210	0
355	212	0
356	212	0
357	212	0
359	214	0
361	215	0
364	216	0
366	217	0
368	220	0
370	223	0
371	224	0
372	224	0
374	224	0
375	226	0
377	227	0
380	228	0
382	229	0
384	231	0
386	234	0
387	236	0
388	236	0
390	236	0
391	238	0
393	239	0
396	240	0
398	241	0
400	243	0
402	244	0
404	246	0
405	248	0
406	248	0
407	248	0
410	250	0
411	251	0
